koma_id,img_path,kanji,page,position,koma,size_x,size_y,chara_num,whos,eyes,face_direction,place,background,serif_num_base,whos_s,serifs_base,onomatope,step,step1_inputer,step2_inputer,step3_inputer,serif_num,serifs,img_path_m,index
01-011-3,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-014-3.jpg,1,11,R,3,322,251,1.0,"唯,","詳細,","正面前,",,,,,,,2.0,yukari,not_yet,not_yet,1.0,どうしたの?なんかしたの,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-014-3.jpg,14
01-011-4,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-014-4.jpg,1,11,R,4,323,245,2.0,"縁,ゆ,","デフォルメ,デフォルメ,","正面前,正面前,",,,,,,,2.0,yukari,not_yet,not_yet,1.0,ゴミ食べたの?,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-014-4.jpg,15
01-011-5,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-014-5.jpg,1,11,L,1,323,245,3.0,"ゆ,縁,唯,","詳細,デフォルメ,詳細,","正面前,正面前,正面前,",,,,,,,2.0,yukari,not_yet,not_yet,2.0,"お,1",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-014-5.jpg,16
01-011-6,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-014-6.jpg,1,11,L,2,322,252,0.0,,,,,,,,,,2.0,yukari,not_yet,not_yet,2.0,"私はちびっちゃい頃なんでも口に入れた,私はちびっちゃい頃なんでも口に入れたよ",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-014-6.jpg,17
01-011-7,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-014-7.jpg,1,11,L,3,323,251,0.0,,,,,,,,,,2.0,yukari,not_yet,not_yet,0.0,,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-014-7.jpg,18
01-011-8,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-014-8.jpg,1,11,L,4,323,245,3.0,"ゆ,縁,唯,","デフォルメ,デフォルメ,詳細,","正面前,正面前,正面前,",,,,,,,2.0,yukari,not_yet,not_yet,3.0,"ぁは,そうかゴミか…,今日の部活テーマゴミ",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-014-8.jpg,19
01-012-1,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-015-1.jpg,1,12,R,1,321,245,2.0,"ゆ,唯,","デフォルメ,詳細,","正面前,正面前,",,,,,,,2.0,yukari,not_yet,not_yet,2.0,"ゴミものの役に立たずない方がよいもの,うわ!コミー",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-015-1.jpg,20
01-012-2,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-015-2.jpg,1,12,R,2,321,253,2.0,"ゆ,唯,","詳細,詳細,","正面前,右向き前,",,,,,,,2.0,yukari,not_yet,not_yet,4.0,"でもホラ,にゴミ,肩にゴミついてるよこてよ?,役に立つ",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-015-2.jpg,21
01-012-3,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-015-3.jpg,1,12,R,3,322,252,2.0,"ゆ,唯,","詳細,詳細,","正面前,右向き前,",,,,,,,2.0,yui,not_yet,not_yet,2.0,"目の上に細い黒いのがいっぱい,ついてるよって",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-015-3.jpg,22
01-012-4,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-015-4.jpg,1,12,R,4,322,244,2.0,"ゆ,唯,","デフォルメ,","背面,正面前,",,,,,,,2.0,yukari,not_yet,not_yet,2.0,"頭に髪みたいのがのってるよ!って,はの",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-015-4.jpg,23
01-012-5,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-015-5.jpg,1,12,L,1,322,245,3.0,"ゆ,唯,縁,","デフォルメ,詳細,デフォルメ,","正面前,正面前,正面前,",,,,,,,2.0,yukari,not_yet,not_yet,1.0,ゴミムシゴミのある所でよくみつかる,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-015-5.jpg,24
01-012-6,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-015-6.jpg,1,12,L,2,321,253,0.0,,,,,,,,,,2.0,yuzuko,not_yet,not_yet,3.0,"チビゴミムシコミムン…,ひどすぎる!,かわい",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-015-6.jpg,25
01-012-7,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-015-7.jpg,1,12,L,3,322,252,3.0,"ゆ,唯,縁,","デフォルメ,デフォルメ,","正面前,背面,正面前,",,,,,,,2.0,yuzuko,not_yet,not_yet,3.0,"ゴミムシ,お星一とっ!た,っ",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-015-7.jpg,26
01-012-8,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-015-8.jpg,1,12,L,4,322,244,2.0,"ゆ,縁,","デフォルメ,","背面,正面前,",,,,,,,2.0,yui,not_yet,not_yet,4.0,"ヌレチゴミムシ,うわ,どうし!?,!",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-015-8.jpg,27
01-013-1,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-016-1.jpg,1,13,R,1,322,245,0.0,,,,,,,,,,2.0,yuzuko,not_yet,not_yet,3.0,"亜臨界水反応でゴミ処理,分解して汚染物質もする,お",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-016-1.jpg,28
01-013-2,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-016-2.jpg,1,13,R,2,323,253,2.0,"ゆ,縁,","デフォルメ,デフォルメ,","左向き前,正面前,",,,,,,,2.0,yuzuko,not_yet,not_yet,2.0,"どういうの,蛋白質を分解してアミノ酸にして資源にもできるんだって",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-016-2.jpg,29
01-013-3,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-016-3.jpg,1,13,R,3,322,252,2.0,"ゆ,縁,","デフォルメ,デフォルメ,","正面前,正面前,",,,,,,,2.0,yuzuko,not_yet,not_yet,4.0,"あれかな?こう…不良グループに亜人が入ってきてね?,よくな,ね人のていく,そんでそのグループはデカイ顔してみんなに迷惑かけてたんだけど亜人ならではのモノの考え方が広がってね群れるのをやめて人の役にたつ様になっていくという…",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-016-3.jpg,30
01-013-4,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-016-4.jpg,1,13,R,4,323,245,3.0,"ゆ,縁,唯,","デフォルメ,デフォルメ,詳細,","正面前,正面前,正面前,",,,,,,,2.0,yuzuko,not_yet,not_yet,2.0,"亜人革命ね,なんはなし?",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-016-4.jpg,31
01-013-5,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-016-5.jpg,1,13,L,1,323,246,3.0,"唯,ゆ,縁,","デフォルメ,デフォルメ,デフォルメ,","左向き前,正面前,右向き前,",,,,,,,2.0,yuzuko,not_yet,not_yet,1.0,亜人革命,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-016-5.jpg,32
01-013-6,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-016-6.jpg,1,13,L,2,323,253,2.0,"縁,ゆ,","デフォルメ,デフォルメ,","左向き前,正面前,",,,,,,,2.0,yui,not_yet,not_yet,1.0,ゴミムシよかったな,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-016-6.jpg,33
01-013-7,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-016-7.jpg,1,13,L,3,323,252,1.0,"ゆ,","詳細,","正面前,",,,,,,,2.0,yukari,not_yet,not_yet,1.0,やったぜ!,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-016-7.jpg,34
01-013-8,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-016-8.jpg,1,13,L,4,323,245,3.0,"縁,ゆ,唯,","デフォルメ,デフォルメ,デフォルメ,","左向き前,右向き前,右向き前,",,,,,,,2.0,yuzuko,not_yet,not_yet,1.0,あっついやつな,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-016-8.jpg,35
01-014-1,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-017-1.jpg,1,14,R,1,321,244,2.0,"ゆ,唯,","詳細,詳細,","正面前,正面前,",,,,,,,2.0,yukari,not_yet,not_yet,,,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-017-1.jpg,36
01-014-2,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-017-2.jpg,1,14,R,2,322,251,2.0,"唯,縁,","詳細,デフォルメ,","正面前,正面前,",,,,,,,2.0,yuzuko,not_yet,not_yet,,,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-017-2.jpg,37
01-014-3,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-017-3.jpg,1,14,R,3,322,251,2.0,"ゆ,唯,","詳細,詳細,","左向き前,正面前,",,,,,,,2.0,yukari,not_yet,not_yet,,,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-017-3.jpg,38
01-014-4,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-017-4.jpg,1,14,R,4,322,244,3.0,"縁,唯,ゆ,","デフォルメ,デフォルメ,","左向き前,背面,正面前,",,,,,,,2.0,yui,not_yet,not_yet,0.0,,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-017-4.jpg,39
01-014-5,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-017-5.jpg,1,14,L,1,322,245,1.0,"唯,","詳細,","正面前,",,,,,,,2.0,yukari,not_yet,not_yet,,,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-017-5.jpg,40
01-014-6,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-017-6.jpg,1,14,L,2,322,252,3.0,"ゆ,唯,縁,","デフォルメ,詳細,デフォルメ,","左向き前,正面前,右向き前,",,,,,,,2.0,yukari,not_yet,not_yet,,,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-017-6.jpg,41
01-014-7,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-017-7.jpg,1,14,L,3,322,252,3.0,"ゆ,唯,縁,","デフォルメ,詳細,デフォルメ,","左向き前,正面前,右向き前,",,,,,,,2.0,yuzuko,not_yet,not_yet,2.0,"ての唯ちゃん!,スッと家わ",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-017-7.jpg,42
01-014-8,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-017-8.jpg,1,14,L,4,322,245,3.0,"ゆ,唯,縁,","デフォルメ,詳細,デフォルメ,","左向き前,正面前,右向き前,",,,,,,,2.0,yukari,not_yet,not_yet,3.0,"大丈夫見守っ
私がこっそりてるから,アメリカンドッグとか食いながら,なんかい",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-017-8.jpg,43
01-015-3,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-018-3.jpg,1,15,R,3,326,250,2.0,"ゆ,縁,","詳細,デフォルメ,","正面前,正面前,",,,,,,,2.0,None,not_yet,not_yet,3.0,"ご先祖さまとかの役目じゃないの?,だいじょぶだいじょぶいっしょに仲良く,いっしょに仲良く見守ってるから",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-018-3.jpg,44
01-015-4,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-018-4.jpg,1,15,R,4,326,246,0.0,,,,,,,,,,2.0,yuzuko,not_yet,not_yet,1.0,アメリカンドッグ食べながら?,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-018-4.jpg,45
01-015-7,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-018-7.jpg,1,15,L,3,326,250,0.0,,,,,,,,,,2.0,yuzuko,not_yet,not_yet,2.0,"そうかお年寄りとは限らんのか…,興奮するね",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-018-7.jpg,46
01-015-8,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-018-8.jpg,1,15,L,4,325,246,3.0,"ゆ,唯,縁,","デフォルメ,詳細,デフォルメ,","正面前,正面前,正面前,",,,,,,,2.0,yuzuko,not_yet,not_yet,1.0,すなつー,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-018-8.jpg,47
01-016-1,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-019-1.jpg,1,16,R,1,326,246,4.0,"ゆ,ゆ,唯,縁,","詳細,デフォルメ,デフォルメ,デフォルメ,","正面前,正面前,正面前,左向き前,",,,,,,,2.0,yuzuko,not_yet,not_yet,3.0,"迷子さ,ちょっと積極的になりに行くって,え",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-019-1.jpg,48
01-016-2,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-019-2.jpg,1,16,R,2,326,253,1.0,"唯,","詳細,","正面前,",,,,,,,2.0,None,not_yet,not_yet,2.0,"ん遠出する?,うーん",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-019-2.jpg,49
01-016-3,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-019-3.jpg,1,16,R,3,326,250,2.0,"ゆ,唯,","デフォルメ,詳細,","正面前,右向き前,",,,,,,,2.0,yukari,not_yet,not_yet,2.0,"まいご…迷子になりたい!,が!",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-019-3.jpg,50
01-016-4,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-019-4.jpg,1,16,R,4,326,245,2.0,"ゆ,唯,","詳細,詳細,","正面前,右向き前,",,,,,,,2.0,yuzuko,not_yet,not_yet,2.0,"?,んっ!お生きる目的をさがし!",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-019-4.jpg,51
01-016-5,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-019-5.jpg,1,16,L,1,325,246,3.0,"ゆ,縁,唯,","詳細,デフォルメ,詳細,","左向き前,正面前,右向き前,",,,,,,,2.0,yui,not_yet,not_yet,3.0,"むつ1,ちょっとバランス間違え…,な",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-019-5.jpg,52
01-016-6,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-019-6.jpg,1,16,L,2,324,253,1.0,"縁,","デフォルメ,","正面前,",,,,,,,2.0,yui,not_yet,not_yet,3.0,"ごめんね?サブなかったや,は,そっか",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-019-6.jpg,53
01-016-7,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-019-7.jpg,1,16,L,3,325,250,2.0,"唯,ゆ,","デフォルメ,デフォルメ,","正面前,正面前,",,,,,,,2.0,yui,not_yet,not_yet,3.0,"ただ…,なりたいだけ…,なんだよ",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-019-7.jpg,54
01-016-8,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-019-8.jpg,1,16,L,4,325,246,3.0,"ゆ,縁,唯,","デフォルメ,デフォルメ,デフォルメ,","左向き前,正面前,右向き前,",,,,,,,2.0,yukari,not_yet,not_yet,2.0,"への迷いみたいのか?,2",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-019-8.jpg,55
01-017-1,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-020-1.jpg,1,17,R,1,327,246,2.0,"縁,唯,","デフォルメ,詳細,","正面前,右向き前,",,,,,,,2.0,yukari,not_yet,not_yet,1.0,じゃーやる!?ちゃんと,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-020-1.jpg,56
01-017-2,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-020-2.jpg,1,17,R,2,327,254,1.0,"唯,","詳細,","正面前,",,,,,,,2.0,yuzuko,not_yet,not_yet,3.0,"ちゃんと迷子,迷子ちゃん,まいご",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-020-2.jpg,57
01-017-3,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-020-3.jpg,1,17,R,3,327,251,2.0,"唯,縁,","詳細,デフォルメ,","左向き前,右向き前,",,,,,,,2.0,yuzuko,not_yet,not_yet,2.0,"わたしまいごちゃん,絵本の最初かっ",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-020-3.jpg,58
01-017-4,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-020-4.jpg,1,17,R,4,327,247,1.0,"唯,","詳細,","左向き前,",,,,,,,2.0,yukari,not_yet,not_yet,3.0,"家帰れる!?,うん…最後ページで,よかったよかった",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-020-4.jpg,59
01-017-5,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-020-5.jpg,1,17,L,1,325,246,3.0,"唯,縁,ゆ,","詳細,デフォルメ,デフォルメ,","正面前,正面前,右向き前,",,,,,,,2.0,yukari,not_yet,not_yet,2.0,"未ず電車乗って遠くてス知らない駅まで行っ,そうそう",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-020-5.jpg,60
01-017-6,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-020-6.jpg,1,17,L,2,325,253,3.0,"ゆ,縁,唯,","デフォルメ,デフォルメ,","右向き前,正面前,背面,",,,,,,,2.0,yukari,not_yet,not_yet,3.0,"知らないバス乗っちゃう!?し,わ,か",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-020-6.jpg,61
01-017-7,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-020-7.jpg,1,17,L,3,325,251,1.0,"唯,","詳細,","正面前,",,,,,,,2.0,yukari,not_yet,not_yet,1.0,知らないバスこわいね,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-020-7.jpg,62
01-017-8,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-020-8.jpg,1,17,L,4,325,246,3.0,"縁,ゆ,唯,","デフォルメ,デフォルメ,デフォルメ,","左向き前,左向き前,正面前,",,,,,,,2.0,yuzuko,not_yet,not_yet,3.0,"快速…2墓骨村の,こわい!,こわいっ!",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-020-8.jpg,63
01-018-1,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-021-1.jpg,1,18,R,1,325,246,1.0,"ゆ,","デフォルメ,","正面前,",,,,,,,2.0,yukari,not_yet,not_yet,2.0,"村山ホントに帰れなそう…,そうかとく",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-021-1.jpg,64
01-018-2,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-021-2.jpg,1,18,R,2,326,253,2.0,"ゆ,唯,","デフォルメ,詳細,","左向き前,正面前,",,,,,,,2.0,yuzuko,not_yet,not_yet,2.0,"でもコレで大体大丈夫になるよ?,あそっか",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-021-2.jpg,65
01-018-3,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-021-3.jpg,1,18,R,3,325,250,2.0,"ゆ,唯,","デフォルメ,詳細,","左向き前,正面前,",,,,,,,2.0,yukari,not_yet,not_yet,2.0,"じゃあ基本電源オフで泣きそうになったら電源,そうな…",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-021-3.jpg,66
01-018-4,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-021-4.jpg,1,18,R,4,325,245,0.0,,,,,,,,,,2.0,yuzuko,not_yet,not_yet,2.0,"まったく!しょーがないな唯ちゃんは,泣いちゃうからね",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-021-4.jpg,67
01-018-5,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-021-5.jpg,1,18,L,1,324,245,3.0,"ゆ,唯,縁,","デフォルメ,詳細,デフォルメ,","左向き前,正面前,右向き前,",,,,,,,2.0,yuzuko,not_yet,not_yet,2.0,"おっけー?,ん",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-021-5.jpg,68
01-018-6,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-021-6.jpg,1,18,L,2,324,253,0.0,,,,,,,,,,2.0,yui,not_yet,not_yet,3.0,"よ,は難易?度,難1易度",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-021-6.jpg,69
01-018-7,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-021-7.jpg,1,18,L,3,325,250,2.0,"ゆ,唯,","詳細,詳細,","正面前,正面前,",,,,,,,2.0,yukari,not_yet,not_yet,1.0,は?難易度,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-021-7.jpg,70
01-018-8,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-021-8.jpg,1,18,L,4,324,245,2.0,"縁,ゆ,","デフォルメ,","正面前,背面,",,,,,,,2.0,yuzuko,not_yet,not_yet,2.0,"むず,な?",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-021-8.jpg,71
01-019-1,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-022-1.jpg,1,19,R,1,325,270,2.0,"ゆ,唯,","デフォルメ,詳細,","左向き前,正面前,",,,,,,,2.0,yukari,not_yet,not_yet,3.0,"終電まで乗り継ぐ?,んう,乗り継ぎない方が楽じゃない?帰り",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-022-1.jpg,72
01-019-2,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-022-2.jpg,1,19,R,2,325,279,2.0,"ゆ,唯,","デフォルメ,デフォルメ,","左向き前,正面前,",,,,,,,2.0,yukari,not_yet,not_yet,,,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-022-2.jpg,73
01-019-3,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-022-3.jpg,1,19,R,3,325,250,2.0,"ゆ,唯,","デフォルメ,詳細,","正面前,右向き前,",,,,,,,2.0,yuzuko,not_yet,not_yet,2.0,"はじまったー!,えっへへ",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-022-3.jpg,74
01-019-4,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-022-4.jpg,1,19,R,4,326,245,2.0,"ゆ,唯,","デフォルメ,詳細,","正面前,右向き前,",,,,,,,2.0,yuzuko,not_yet,not_yet,2.0,"どうする?次で降りる?,こわいんか?か",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-022-4.jpg,75
01-019-5,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-022-5.jpg,1,19,L,1,324,246,1.0,"唯,","デフォルメ,","正面前,",,,,,,,2.0,yui,not_yet,not_yet,,,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-022-5.jpg,76
